218	240	254	255
240	254	255	250
254	255	250	246
255	250	246	252
250	246	252	269
246	252	269	294
252	269	294	314
269	294	314	322
294	314	322	313
314	322	313	290
322	313	290	261
313	290	261	240
290	261	240	232
261	240	232	240
240	232	240	257
232	240	257	274
240	257	274	284
257	274	284	284
274	284	284	276
284	284	276	266
284	276	266	259
276	266	259	255
266	259	255	254
259	255	254	251
255	254	251	243
254	251	243	231
251	243	231	220
243	231	220	216
231	220	216	222
220	216	222	238
216	222	238	257
222	238	257	271
238	257	271	273
257	271	273	262
271	273	262	243
273	262	243	223
262	243	223	213
243	223	213	216
223	213	216	232
213	216	232	254
216	232	254	273
232	254	273	284
254	273	284	285
273	284	285	280
284	285	280	275
